Species,Area,Year,Catch
Chinese silver pomfret,"Indian Ocean, Eastern",2014,147200
Chinese silver pomfret,"Indian Ocean, Eastern",2015,0
Chinese silver pomfret,"Indian Ocean, Eastern",2016,0
Chinese silver pomfret,"Indian Ocean, Eastern",2017,0
Chinese silver pomfret,"Indian Ocean, Eastern",2018,0
Chinese silver pomfret,"Indian Ocean, Eastern",2019,0
Chinese silver pomfret,"Indian Ocean, Eastern",2020,0
Chinese silver pomfret,"Indian Ocean, Eastern",2021,0
Chinese silver pomfret,"Indian Ocean, Eastern",2022,0
Chinese silver pomfret,"Indian Ocean, Eastern",2023,0
Chinese silver pomfret,"Indian Ocean, Western",2014,0
Chinese silver pomfret,"Indian Ocean, Western",2015,0
Chinese silver pomfret,"Indian Ocean, Western",2016,0
Chinese silver pomfret,"Indian Ocean, Western",2017,0
Chinese silver pomfret,"Indian Ocean, Western",2018,0
Chinese silver pomfret,"Indian Ocean, Western",2019,3959.65
Chinese silver pomfret,"Indian Ocean, Western",2020,4805.71
Chinese silver pomfret,"Indian Ocean, Western",2021,3843.25
Chinese silver pomfret,"Indian Ocean, Western",2022,3666.24
Chinese silver pomfret,"Indian Ocean, Western",2023,4109.32
Clupeoids NEI,"Indian Ocean, Eastern",2014,0
Clupeoids NEI,"Indian Ocean, Eastern",2015,0
Clupeoids NEI,"Indian Ocean, Eastern",2016,0
Clupeoids NEI,"Indian Ocean, Eastern",2017,0
Clupeoids NEI,"Indian Ocean, Eastern",2018,0
Clupeoids NEI,"Indian Ocean, Eastern",2019,2639.35
Clupeoids NEI,"Indian Ocean, Eastern",2020,3203.29
Clupeoids NEI,"Indian Ocean, Eastern",2021,2561.75
Clupeoids NEI,"Indian Ocean, Eastern",2022,2443.76
Clupeoids NEI,"Indian Ocean, Eastern",2023,2551.69
Clupeoids NEI,"Indian Ocean, Western",2014,184500
Clupeoids NEI,"Indian Ocean, Western",2015,213500
Clupeoids NEI,"Indian Ocean, Western",2016,167600
Clupeoids NEI,"Indian Ocean, Western",2017,189776
Clupeoids NEI,"Indian Ocean, Western",2018,151703.61
Clupeoids NEI,"Indian Ocean, Western",2019,165009.28
Clupeoids NEI,"Indian Ocean, Western",2020,184147.11
Clupeoids NEI,"Indian Ocean, Western",2021,192039.13
Clupeoids NEI,"Indian Ocean, Western",2022,159037.4
Clupeoids NEI,"Indian Ocean, Western",2023,172663.45
Cobia,"Indian Ocean, Eastern",2014,108375
Cobia,"Indian Ocean, Eastern",2015,125606
Cobia,"Indian Ocean, Eastern",2016,98707
Cobia,"Indian Ocean, Eastern",2017,111768
Cobia,"Indian Ocean, Eastern",2018,89345.38
Cobia,"Indian Ocean, Eastern",2019,97181.72
Cobia,"Indian Ocean, Eastern",2020,108452.88
Cobia,"Indian Ocean, Eastern",2021,113100.87
Cobia,"Indian Ocean, Eastern",2022,93664.6
Cobia,"Indian Ocean, Eastern",2023,106828.82
"Croakers, drums NEI","Indian Ocean, Eastern",2014,760
"Croakers, drums NEI","Indian Ocean, Eastern",2015,814
"Croakers, drums NEI","Indian Ocean, Eastern",2016,883
"Croakers, drums NEI","Indian Ocean, Eastern",2017,1000
"Croakers, drums NEI","Indian Ocean, Eastern",2018,1041.6
"Croakers, drums NEI","Indian Ocean, Eastern",2019,1084.9
"Croakers, drums NEI","Indian Ocean, Eastern",2020,1090.19
"Croakers, drums NEI","Indian Ocean, Eastern",2021,1121.32
"Croakers, drums NEI","Indian Ocean, Eastern",2022,1147.43
"Croakers, drums NEI","Indian Ocean, Eastern",2023,1260.89
"Croakers, drums NEI","Indian Ocean, Western",2014,32364
"Croakers, drums NEI","Indian Ocean, Western",2015,31383
"Croakers, drums NEI","Indian Ocean, Western",2016,31893
"Croakers, drums NEI","Indian Ocean, Western",2017,30367
"Croakers, drums NEI","Indian Ocean, Western",2018,27377.62
"Croakers, drums NEI","Indian Ocean, Western",2019,27438.05
"Croakers, drums NEI","Indian Ocean, Western",2020,23789.35
"Croakers, drums NEI","Indian Ocean, Western",2021,20472.32
"Croakers, drums NEI","Indian Ocean, Western",2022,18200.07
"Croakers, drums NEI","Indian Ocean, Western",2023,20787.85
"Cuttlefish, bobtail squids NEI","Indian Ocean, Eastern",2014,129500
"Cuttlefish, bobtail squids NEI","Indian Ocean, Eastern",2015,124000
"Cuttlefish, bobtail squids NEI","Indian Ocean, Eastern",2016,125900
"Cuttlefish, bobtail squids NEI","Indian Ocean, Eastern",2017,119874
"Cuttlefish, bobtail squids NEI","Indian Ocean, Eastern",2018,108073.38
"Cuttlefish, bobtail squids NEI","Indian Ocean, Eastern",2019,108311.95
"Cuttlefish, bobtail squids NEI","Indian Ocean, Eastern",2020,93908.65
"Cuttlefish, bobtail squids NEI","Indian Ocean, Eastern",2021,80814.68
"Cuttlefish, bobtail squids NEI","Indian Ocean, Eastern",2022,71844.93
"Cuttlefish, bobtail squids NEI","Indian Ocean, Eastern",2023,80653.44
"Cuttlefish, bobtail squids NEI","Indian Ocean, Western",2014,0
"Cuttlefish, bobtail squids NEI","Indian Ocean, Western",2015,16146
"Cuttlefish, bobtail squids NEI","Indian Ocean, Western",2016,15305
"Cuttlefish, bobtail squids NEI","Indian Ocean, Western",2017,16400
"Cuttlefish, bobtail squids NEI","Indian Ocean, Western",2018,12877.03
"Cuttlefish, bobtail squids NEI","Indian Ocean, Western",2019,13958.54
"Cuttlefish, bobtail squids NEI","Indian Ocean, Western",2020,12225.62
"Cuttlefish, bobtail squids NEI","Indian Ocean, Western",2021,10243.59
"Cuttlefish, bobtail squids NEI","Indian Ocean, Western",2022,11099.6
"Cuttlefish, bobtail squids NEI","Indian Ocean, Western",2023,12225.92
Emperors(=Scavengers) NEI,"Indian Ocean, Eastern",2014,2350
Emperors(=Scavengers) NEI,"Indian Ocean, Eastern",2015,2530
Emperors(=Scavengers) NEI,"Indian Ocean, Eastern",2016,2750
Emperors(=Scavengers) NEI,"Indian Ocean, Eastern",2017,3000
Emperors(=Scavengers) NEI,"Indian Ocean, Eastern",2018,3193.44
Emperors(=Scavengers) NEI,"Indian Ocean, Eastern",2019,3358.83
Emperors(=Scavengers) NEI,"Indian Ocean, Eastern",2020,3375.21
Emperors(=Scavengers) NEI,"Indian Ocean, Eastern",2021,3471.61
Emperors(=Scavengers) NEI,"Indian Ocean, Eastern",2022,3552.43
Emperors(=Scavengers) NEI,"Indian Ocean, Eastern",2023,4207.23
Emperors(=Scavengers) NEI,"Indian Ocean, Western",2014,0
Emperors(=Scavengers) NEI,"Indian Ocean, Western",2015,9950
Emperors(=Scavengers) NEI,"Indian Ocean, Western",2016,6650
Emperors(=Scavengers) NEI,"Indian Ocean, Western",2017,8756
Emperors(=Scavengers) NEI,"Indian Ocean, Western",2018,6366.6
